congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
115,House,20304,61,8,AZ,200,,,"FRANKS, Trent",F000448,1957,,0.7490000000000001,0.087,-45.672470000000004,0.91933,543.0,23.0,,0.621,-0.006
115,House,21300,61,9,AZ,100,,,"SINEMA, Kyrsten",S001191,1976,,-0.102,0.064,-262.83236,0.74405,889.0,133.0,,-0.09699999999999999,0.124
115,House,21501,61,2,AZ,200,,,"McSALLY, Martha",M001197,1966,,0.345,0.027000000000000003,-141.95528000000002,0.8597,939.0,84.0,,0.391,-0.028999999999999998
115,House,15621,71,48,CA,200,,,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.41700000000000004,-191.72548,0.8128,925.0,77.0,,0.609,-0.5489999999999999
115,House,20107,71,49,CA,200,,,"ISSA, Darrell",I000056,1953,,0.505,-0.083,-97.15264,0.8984200000000001,907.0,39.0,,0.449,-0.096
115,House,21109,71,10,CA,200,,,"DENHAM, Jeff",D000612,1967,,0.306,0.212,-102.31873,0.89464,919.0,65.0,,0.23800000000000002,0.535
115,House,21307,71,21,CA,200,,,"VALADAO, David G.",V000129,1977,,0.254,0.413,-80.09397,0.9188200000000001,946.0,55.0,,0.248,0.687
115,House,21505,71,25,CA,200,,,"KNIGHT, Steve",K000387,1966,,0.397,0.188,-100.68598,0.8988299999999999,944.0,63.0,,0.311,0.359
115,House,21509,71,45,CA,200,,,"WALTERS, Mimi",W000820,1962,,0.433,0.177,-64.84546999999999,0.9314399999999999,913.0,20.0,,0.522,0.131
115,House,29321,71,39,CA,200,,,"ROYCE, Edward Randall",R000487,1951,,0.657,-0.353,-134.2203,0.8669399999999999,940.0,41.0,,0.47700000000000004,-0.171
115,House,20904,62,2,CO,100,,,"POLIS, Jared",P000598,1975,,-0.278,-0.6920000000000001,-126.08868999999999,0.8619899999999999,849.0,46.0,,-0.27,-0.7879999999999999
115,House,20906,62,6,CO,200,,,"COFFMAN, Mike",C001077,1955,,0.49200000000000005,-0.213,-156.11568,0.8489,953.0,88.0,,0.424,-0.16899999999999998
